tnea_code,sl_no,branch_code,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_note
1441,1,CE,30,2009.0,No,,
1441,2,CS,90,2012.0,No,,
1441,3,EC,60,2009.0,No,,
1441,4,EE,60,2009.0,No,,
1441,5,ME,60,2009.0,No,,
1441,6,AD,60,2023.0,No,,
1441,7,IT,60,2023.0,No,,
1436,1,AD,60,2022.0,No,,
1436,2,CE,30,2010.0,No,,
1436,3,ME,60,2009.0,No,,
1436,4,CS,60,2008.0,No,,
1436,5,EC,60,2008.0,No,,
1436,6,EE,30,2008.0,No,,
3821,1,CE,30,2005.0,No,,
3821,2,CS,90,2002.0,No,,
3821,3,EE,30,2003.0,No,,
3821,4,EC,60,2002.0,No,,
3821,5,ME,30,2011.0,No,,
3821,6,AG,60,2022.0,No,,
3821,7,BM,60,2022.0,No,,
3821,8,AD,60,2023.0,No,,
1232,1,AD,60,2023.0,No,,
1232,2,IT,60,2008.0,No,,
1232,3,CS,60,2008.0,No,,
1232,4,CE,30,2014.0,No,,
1232,5,EC,60,2008.0,No,,
1232,6,ME,60,2009.0,No,,
3801,1,CS,120,1996.0,Yes,2028,
3801,2,EC,60,1996.0,Yes,2028,
3801,3,EE,60,2011.0,Yes,2028,
3801,4,IC,30,2001.0,No,,
3801,5,IT,120,1999.0,No,,
3801,6,AD,60,2024.0,No,,
3801,7,CE,30,2011.0,No,,
3801,8,ME,30,1996.0,Yes,2028,
2636,1,AD,240,2021.0,No,,
2636,2,BM,60,2022.0,No,,
2636,3,CE,30,2010.0,No,,
2636,4,CS,180,2008.0,No,,
2636,5,EC,120,2008.0,No,,
2636,6,EE,60,2008.0,No,,
2636,7,IT,120,2023.0,No,,
2636,8,ME,60,2009.0,No,,
2636,9,AL,60,2025.0,No,,
4680,1,CE,60,2013.0,Yes,2027,
4680,2,CS,180,2013.0,Yes,2026,
4680,3,EE,60,2013.0,Yes,2026,
4680,4,EC,120,2013.0,Yes,2026,
4680,5,ME,60,2013.0,Yes,2026,
4680,6,AD,120,2023.0,No,,
4680,7,SC,60,2023.0,No,,
4680,8,IT,60,2023.0,No,,
4680,9,EV,60,2026.0,,,
1101,1,AD,60,2022.0,No,,
1101,2,CS,120,2000.0,Yes,2027,
1101,3,IT,60,2006.0,Yes,2027,
1101,4,EE,30,2000.0,No,,
1101,5,EC,120,2000.0,Yes,2027,
1101,6,ME,60,2007.0,Yes,2027,
1101,7,SC,60,2024.0,No,,
1101,8,CB,30,2024.0,No,,
1101,9,AM,30,2024.0,No,,
1101,10,CE,30,2026.0,,,Subject to Anna University approval
1233,1,AD,60,2021.0,No,,
1233,2,EC,60,2008.0,No,,
1233,3,EE,60,2008.0,No,,
1233,4,IT,60,2022.0,No,,
1233,5,ME,60,2010.0,No,,
1233,6,CS,120,2008.0,No,,
1233,7,AM,30,2026.0,,,
1233,8,SC,30,2026.0,,,
1501,1,CE,30,2012.0,No,,
1501,2,CS,60,2001.0,No,,
1501,3,EC,60,2001.0,No,,
1501,4,EE,30,2004.0,No,,
1501,5,IT,60,2001.0,No,,
1501,6,ME,30,2011.0,No,,
1501,7,AD,60,2024.0,No,,
1501,8,SC,30,2024.0,No,,
1401,1,CE,60,1984.0,No,,
1401,2,ME,60,1984.0,No,,
1401,3,EE,60,1993.0,No,,
1401,4,EC,90,1984.0,No,,
1401,5,CS,90,1993.0,No,,
1401,6,IT,60,1998.0,No,,
1401,7,CH,40,1997.0,No,,
1401,8,AM,30,2023.0,No,,
1401,9,CD,60,2025.0,No,,
1401,10,AG,60,2025.0,No,,
2601,1,AE,60,2009.0,No,,
2601,2,AD,120,2023.0,No,,
2601,3,BM,60,2003.0,Yes,2027,
2601,4,BT,60,2003.0,Yes,2027,
2601,5,CE,30,1993.0,No,,
2601,6,CH,30,1993.0,No,,
2601,7,CS,180,1991.0,Yes,2027,
2601,8,EC,180,1991.0,Yes,2027,
2601,9,EE,60,1992.0,Yes,2027,
2601,10,IT,60,2001.0,Yes,2027,
2601,11,ME,60,1991.0,No,,
2601,12,AR,20,1993.0,No,,
2601,13,SC,120,2024.0,No,,
2601,14,AM,60,2025.0,No,,
2601,15,CB,60,2025.0,No,,
2744,1,CE,30,2013.0,No,,
2744,2,CS,120,2008.0,No,,
2744,3,EE,60,2011.0,No,,
2744,4,EC,60,2008.0,No,,
2744,5,ME,60,2008.0,No,,
2744,6,IT,60,2008.0,No,,
2744,7,AD,60,2023.0,No,,
1316,1,AD,120,2021.0,No,,
1316,2,BM,60,2014.0,Yes,2027,
1316,3,CE,30,2010.0,No,,
1316,4,CS,180,2001.0,Yes,2028,
1316,5,EE,60,2001.0,Yes,2028,
1316,6,EC,60,2001.0,Yes,2026,
1316,7,ME,30,2010.0,Yes,2028,
1316,8,CH,30,2016.0,Yes,2028,
1316,9,IT,120,2001.0,Yes,2028,
1316,10,MZ,60,2014.0,Yes,2027,
2332,1,CE,60,2011.0,No,,
2332,2,CS,60,2011.0,No,,
2332,3,EC,60,2011.0,No,,
2332,4,EE,60,2011.0,No,,
2332,5,ME,60,2011.0,No,,
2332,6,AD,60,2023.0,No,,
2763,1,AD,60,2022.0,No,,
2763,2,CS,120,2009.0,Yes,2027,
2763,3,CB,30,2022.0,No,,
2763,4,CE,30,2010.0,Yes,2027,
2763,5,EE,30,2023.0,No,,
2763,6,EC,90,2009.0,Yes,2027,
2763,7,ME,60,2009.0,No,,
2763,8,MZ,30,2013.0,No,,
2763,9,SC,30,2026.0,,,Subject to Anna University approval
2652,1,AD,30,2022.0,No,,
2652,2,IT,30,2020.0,No,,
2652,3,CS,60,2009.0,No,,
2652,4,EE,30,2009.0,Yes,2027,
2652,5,EC,30,2009.0,Yes,2027,
2652,6,ME,60,2009.0,No,,
5901,1,CE,60,1952.0,Yes,2027,
5901,2,ME,120,1952.0,Yes,2027,
5901,3,EE,120,1952.0,Yes,2027,
5901,4,EC,60,1969.0,Yes,2028,
5901,5,CS,60,2001.0,No,,
5901,6,IT,60,2025.0,No,,
1228,1,SC,60,2024.0,No,,
1228,2,RM,30,2024.0,No,,
1228,3,CS,60,2006.0,No,,
1228,4,EC,30,2006.0,No,,
1228,5,IT,60,2006.0,No,,
1228,6,AD,60,2023.0,No,,
1228,7,BM,30,2006.0,No,,
1303,1,CS,120,2000.0,Yes,2028,
1303,2,EE,30,2002.0,Yes,2026,
1303,3,EC,60,2000.0,Yes,2028,
1303,4,ME,60,2003.0,No,,
1303,5,IT,60,2000.0,No,,
1303,6,AD,120,2020.0,No,,
1303,7,BT,60,2020.0,No,,
1303,8,CB,60,2022.0,No,,
1303,9,SC,60,2025.0,No,,
2733,1,CE,30,2014.0,No,,
2733,2,CS,60,2007.0,No,,
2733,3,EE,30,2008.0,No,,
2733,4,EC,60,2007.0,No,,
2733,5,ME,30,2009.0,No,,
2733,6,FT,60,2007.0,No,,
3803,1,CH,30,1996.0,No,,
3803,2,CE,30,2014.0,No,,
3803,3,CS,90,1995.0,No,,
3803,4,EC,90,1995.0,Yes,2027,
3803,5,EE,60,1996.0,No,,
3803,6,IT,90,1999.0,Yes,2027,
3803,7,ME,60,1993.0,Yes,2027,
3803,8,AD,60,2025.0,No,,
