id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
1,1,1,BY,BIO MEDICAL ENGINEERING (SS),70,2008,Yes,2031,
2,1,2,CE,CIVIL ENGINEERING,70,1859,Yes,2028,
3,1,3,CS,COMPUTER SCIENCE AND ENGINEERING,70,1982,Yes,2029,
4,1,4,CM,COMPUTER SCIENCE AND ENGINEERING (SS),140,2006,Yes,2029,
5,1,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,70,1946,Yes,2029,
6,1,6,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),70,2006,Yes,2029,
7,1,7,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,70,1930,Yes,2028,
8,1,8,GI,GEO INFORMATICS,70,1993,Yes,2028,
9,1,9,IE,INDUSTRIAL ENGINEERING,70,1981,Yes,2028,
10,1,10,IM,INFORMATION TECHNOLOGY (SS),140,2006,Yes,2026,
11,1,11,MA,MATERIAL SCIENCE AND ENGINEERING (SS),35,2006,Yes,2031,
12,1,12,MI,MINING ENGINEERING,35,1987,No,,
13,1,13,MN,MANUFACTURING ENGINEERING,70,1980,Yes,2028,
14,1,14,ME,MECHANICAL ENGINEERING,140,1895,Yes,2029,
15,1,15,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),35,2010,Yes,2029,
16,1,16,XC,CIVIL ENGINEERING (TAMIL MEDIUM),35,2010,Yes,2028,
17,1,17,PT,PRINTING & PACKING TECHNOLOGY,70,1983,No,,
18,1,18,EL,Electronics Engineering (VLSI Design and Technology) (SS),70,2024,No,,
19,2,1,AP,APPAREL TECHNOLOGY (SS),35,2007,No,,
20,2,2,CH,CHEMICAL ENGINEERING,70,1944,No,,
21,2,3,CL,CHEMICAL ENGINEERING (SS),70,2012,No,,
22,2,4,CR,CERAMIC TECHNOLOGY (SS),60,1996,No,,
23,2,5,FS,FOOD TECHNOLOGY (SS),45,2004,No,,
24,2,6,IB,INDUSTRIAL BIO TECHNOLOGY,40,1992,No,,
25,2,7,IS,INDUSTRIAL BIO TECHNOLOGY (SS),30,2004,No,,
26,2,8,LE,LEATHER TECHNOLOGY,60,1945,No,,
27,2,9,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),60,2013,No,,
28,2,10,TX,TEXTILE TECHNOLOGY,60,1945,No,,
29,2,11,PM,PHARMACEUTICAL TECHNOLOGY (SS),60,2004,No,,
30,3,1,BP,B.Plan,40,2022,No,,
31,3,2,AR,Architecture,40,1957,No,,
32,3,3,BA,ARCHITECTURE,40,2010,No,,
33,4,1,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),70,2022,No,,
34,4,2,AE,AERONAUTICAL ENGINEERING,70,1949,No,,
35,4,3,AU,AUTOMOBILE ENGINEERING,70,1949,No,,
36,4,4,CS,COMPUTER SCIENCE AND ENGINEERING,70,2001,Yes,2026,
37,4,5,CM,COMPUTER SCIENCE AND ENGINEERING (SS),70,2008,Yes,2026,
38,4,6,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,70,1949,Yes,2029,
39,4,7,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),70,2002,Yes,2029,
40,4,8,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,70,1949,Yes,2028,
41,4,9,IM,INFORMATION TECHNOLOGY (SS),140,2002,Yes,2026,
42,4,10,PR,PRODUCTION ENGINEERING,70,1977,Yes,2026,
43,4,11,RA,ROBOTICS AND AUTOMATION (SS),35,2022,No,,
44,4,12,RP,RUBBER AND PLASTIC TECHNOLOGY,70,1988,Yes,2029,
45,5,1,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2019,No,,
46,5,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,1988,Yes,2028,
47,5,3,CE,CIVIL ENGINEERING,60,1945,No,,
48,5,4,CZ,CIVIL AND STRUCTURAL ENGINEERING,60,1977,No,,
49,5,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2002,No,,
50,5,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,1945,Yes,2028,
51,5,7,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,60,1977,No,,
52,5,8,ME,MECHANICAL ENGINEERING,120,1945,No,,
53,5,9,MM,MECHANICAL ENGINEERING (MANUFACTURING),60,1977,No,,
54,5,10,CH,CHEMICAL ENGINEERING,120,1945,Yes,2028,
55,5,11,IT,INFORMATION TECHNOLOGY,120,1999,No,,
56,5,12,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),60,2019,No,,
57,1013,1,CS,COMPUTER SCIENCE AND ENGINEERING,60,2008,No,,
58,1013,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2008,No,,
59,1013,3,IT,INFORMATION TECHNOLOGY,60,2008,No,,
60,1013,4,ME,MECHANICAL ENGINEERING,60,2008,No,,
61,1013,5,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
62,1013,6,SC,Computer Science and Engineering (Cyber Security),60,2025,No,,
63,1013,7,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
64,1014,1,CE,CIVIL ENGINEERING,30,2008,No,,
65,1014,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2008,No,,
66,1014,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2008,No,,
67,1014,4,IT,INFORMATION TECHNOLOGY,60,2008,No,,
68,1014,5,XC,CIVIL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
69,1014,6,EF,Electrical and Computer Engineering,30,2025,No,,
70,1014,7,CA,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE),30,2026,,,
71,1015,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
72,1015,2,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
73,1015,3,ME,MECHANICAL ENGINEERING,30,2009,No,,
74,1015,4,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
75,1015,5,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,
76,1015,6,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
77,1026,1,CS,COMPUTER SCIENCE AND ENGINEERING,60,2010,No,,
78,1026,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2010,No,,
79,1026,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2010,No,,
80,1026,4,ME,MECHANICAL ENGINEERING,60,2010,No,,
81,1026,5,SC,Computer Science and Engineering (Cyber Security),60,2026,,,
82,1101,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2022,No,,
83,1101,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2000,Yes,2027,
84,1101,3,IT,INFORMATION TECHNOLOGY,60,2006,Yes,2027,
85,1101,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2000,No,,
86,1101,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2000,Yes,2027,
87,1101,6,ME,MECHANICAL ENGINEERING,60,2007,Yes,2027,
88,1101,7,SC,Computer Science and Engineering (Cyber Security),60,2024,No,,
89,1101,8,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2024,No,,
90,1101,9,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2024,No,,
91,1101,10,CE,CIVIL ENGINEERING,30,2026,,,**
92,1102,1,CS,COMPUTER SCIENCE AND ENGINEERING,30,2001,No,,
93,1102,2,CE,CIVIL ENGINEERING,30,2014,No,,
94,1102,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2001,No,,
95,1102,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
96,1102,5,ME,MECHANICAL ENGINEERING,30,2011,No,,
97,1102,6,IT,INFORMATION TECHNOLOGY,30,2001,No,,
98,1102,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2025,No,,
99,1106,1,AE,AERONAUTICAL ENGINEERING,30,2006,No,,
100,1106,2,CE,CIVIL ENGINEERING,30,2001,No,,
101,1106,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,1995,Yes,2027,
102,1106,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,1998,No,,
103,1106,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,90,1995,No,,
104,1106,6,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30,2002,No,,
105,1106,7,ME,MECHANICAL ENGINEERING,30,2002,No,,
106,1106,8,IT,INFORMATION TECHNOLOGY,120,1998,No,,
107,1106,9,TX,TEXTILE TECHNOLOGY,40,1995,Yes,2027,
108,1106,10,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2023,No,,
109,1106,11,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2024,No,,
110,1106,12,CO,COMPUTER AND COMMUNICATION ENGINEERING,30,2024,No,,
111,1106,13,RM,ROBOTICS AND AUTOMATION,30,2024,No,,
112,1107,1,CS,COMPUTER SCIENCE AND ENGINEERING,30,2022,No,,
113,1107,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2001,No,,
114,1107,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
115,1107,4,ME,MECHANICAL ENGINEERING,30,2014,No,,
116,1107,5,FD,FOOD TECHNOLOGY,30,2020,No,,
117,1110,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,150,2020,No,,
118,1110,2,BT,BIO TECHNOLOGY,60,2001,Yes,2026,
119,1110,3,CS,COMPUTER SCIENCE AND ENGINEERING,180,2001,Yes,2026,
120,1110,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2001,Yes,2026,
121,1110,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2001,No,,
122,1110,6,IT,INFORMATION TECHNOLOGY,60,2019,No,,
123,1110,7,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),90,2023,No,,
124,1110,8,SC,Computer Science and Engineering (Cyber Security),60,2023,No,,
