tnea_code,college_name,dean_principal,address,taluk,district,pincode,phone_fax,email_id,website,anti_ragging_phone_no,placement,bank_account_no,bank_name,ifsc_code,distance_from_district_hq,nearest_railway_station,distance_from_railway_station,minority_status,autonomous_status,pdf_page,hostel_facilities_boys,hostel_facilities_girls,accommodation_ug_boys,accommodation_ug_girls,permanent_or_rental_boys,permanent_or_rental_girls,mess_type_boys,mess_type_girls,mess_bill_boys,mess_bill_girls,room_rent_boys,room_rent_girls,electricity_charges_boys,electricity_charges_girls,caution_deposit,establishment_charges,admission_fees,transport_facilities,min_transport_charges,max_transport_charges
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",DR SIVAKUMARAN T S,"AKT NAGAR, NEELAMANGALAM",KALLAKURICHI,KALLAKURICHI,606213,4151223577,aktengg@yahoo.in,www.aktmcet.in,9894469844,96.0,775666036,INDIAN BANK,IDIB000K132,3.0,CHINNASALEM,18.0,No,No,144,Boys,Girls,yes,yes,permanent,permanent,both,both,5000.0,5000.0,1000,1000,0,0,0,0,3000,yes,8500,25000
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",DR R RAMADOSS,"VADAKUCHIPALAYAM, KAPPIYAMPULIYUR, VILLUPURAM",VIKKRAVANDI,VILUPPURAM,605601,9943218375,arec.svet@gmail.com,www.arenggc.com,9487447625,95.0,778080572,INDIAN BANK KOLIYANUR,IDIB000K077,10.0,VILLUPURAM,10.0,No,No,141,Boys,Girls,yes,yes,permanent,permanent,both,both,49500.0,49500.0,10000,10000,2000,2000,0,5000,5000,yes,5000,35000
3821,"A R J College of Engineering and Technology, Mannargudi Taluk, Thiruvarur District 614001",DR T VENKADESAN,"THIRUMAKKOTTAI MAIN ROAD, EDAYARNATHAM,",MANNARGUDI,TIRUVARUR,614016,8608782222,principalcet@arj.edu.in,www.arjcet.com,9750988221,,608701021004,ICICI,,33.0,MANNARGUDI,7.0,No,No,332,Boys,Girls,yes,yes,permanent,permanent,both,Both,6000.0,6000.0,1000,1000,0,0,3000,0,250,yes,6500,25000
1232,"A R M College of Engineering and Technology, Sattamangalam, Maraimalainagar, Chengalpattu District 603209",Dr N Mathiazhagan,"Maraimalainagar, Chennai",chengalpattu,Chengalpet,603209,9710400333,principalarmenggcollege@gmail.com,armcet.edu.in,9710400333,92.0,10103768143,IDFC,IDFB0080125,15.0,CHENGALPATTU,15.0,No,No,92,Boys,Girls,yes,yes,permanent,permanent,both,Both,2500.0,2500.0,1200,1200,0,0,5000,0,1100,yes,0,0
3801,"A V C College of Engineering, Mannampandal Post, MayiladuthuraiDistrict 609305",Dr P BALASUBRAMANIAN,"MANNAMPANDAL, MAYILADUTHURAI DISTRICT",MAYILADUTHURAI,MAYILADUTHURAI,609305,4364227202,avcce@avccengg.net,www.avccengg.net,9442075675,70.0,497755126,INDIAN BANK,IDIB000A125,5.0,MAYILADUTHURAI JUNCTION,7.0,No,No,318,Boys,Girls,yes,yes,permanent,permanent,veg,veg,30000.0,30000.0,5000,5000,7000,7000,3500,4000,100,yes,8000,26200
2636,"A V S Engineering College (Autonomous), Military Road, Ammapet, Salem District 636003",DR J SUNDARARAJAN,"MILITARY ROAD, AMMAPET",SALEM,SALEM,636003,9442700200,principal@avsecmail.in,www.avsenggcollege.ac.in,9976729569,95.0,095302000000405,INDIAN OVERSEAS BANK,IOBA0000953,3.0,SALEM TOWN,2.0,No,Yes,226,Boys,Girls,yes,yes,permanent,permanent,both,both,4000.0,3900.0,1750,1750,500,500,5000,0,5000,yes,6000,16000
4680,"AAA College of Engineering and Technology (Autonomous), Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",DR M SEKAR,"KAMARAJAR EDUCATIONAL ROAD, AMATHUR VILLAGE, SIVAKASI, VIRUDHUNAGAR DISTRICT",VIRUDHUNAGAR,VIRUDHUNAGAR,626005,4562251111,aaaengineeringcollege@gmail.com,aaaenggcoll.ac.in,8124011542,80.0,912010004866164,AXIS BANK SIVAKASI,UTIB0000089,11.0,VIRUDHUNAGAR,11.0,No,Yes,367,Boys,Girls,yes,yes,permanent,permanent,both,both,3600.0,3600.0,2300,2300,300,300,0,0,5000,yes,10000,30000
1101,"Aalim Muhammed Salegh College of Engineering (Autonomous), Muthapudupet, Avadi IAF, Chennai 600055",DR K G PARTHIBAN,"""NIZARA EDUCATIONAL CAMPUS"", MUTHAPUDUPET, IAF- AVADI, CHENNAI",AVADI,TIRUVALLUR,600055,9842703733,principal@aalimec.ac.in,www.aalimec.ac.in,9444765128,90.0,067521010000015,UNION BANK OF INDIA ANNA SALAI CHENNAI,UBIN0906751,20.0,PATTABIRAM MILITARY SIDING E DEPOT,1.0,Yes,Yes,51,Boys,Girls,yes,yes,permanent,permanent,both,Both,72000.0,72000.0,15000,15000,5000,5000,1000,0,500,yes,15100,40100
1233,"Adhi College of Engineering and Technology (Autonomous), Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",DR A DEVARAJU,"NO.6, MUNU ADHI NAGAR, SANKARAPURAM, PULIAMBAKKAM POST",WALAJABAD,KANCHIPURAM,631605,9003625277,office@adhi.edu.in,www.adhi.edu.in,8754152845,94.0,008702000005964,INDIAN OVERSEAS BANK,IOBA0000087,24.0,WAALAJABAD,8.0,No,Yes,93,Boys,Girls,yes,yes,permanent,permanent,both,both,45000.0,45000.0,15000,15000,5000,5000,0,0,2000,yes,10000,45000
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",DR S MOHANAMURUGAN,"G.B.NAGAR, KALAVAI,",KALAVAI,RANIPET,632506,9380590534,apce501@gmail.com,www.apce.in,9994085790,100.0,1928700105,CENTRAL BANK OF INDIA,CBIN0284148,20.0,KATPADI JUNCTION,45.0,No,No,151,Boys,Girls,yes,yes,permanent,permanent,both,Both,4000.0,4000.0,1000,1000,500,500,0,10000,250,yes,7500,25000
1401,"Adhiparasakthi Engineering College (Autonomous), Melmaruvathur, Chengalpattu District 603319",DR J RAJA,"ADHIPARASAKTHI ENGINEERING COLLEGE, MELMARUVATHUR",CHEYYUR,CHENGALPATTU,603319,4427529585,principal@apec.edu.in,www.apec.edu.in,9442936797,85.0,1396202317,CENTRAL BANK OF INDIA,CBIN0283083,36.0,MELMARUVATHUR,3.0,No,yes,117,Boys,Girls,yes,yes,permanent,permanent,both,Both,54000.0,54000.0,10000,10000,8000,8000,0,500,0,yes,7000,38000
2601,"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",Dr R RADHAKRISHNAN,"DR MGR NAGAR, KUMUDEPALLI",HOSUR,KRISHNAGIRI,635130,4344261001,principal@adhiyamaan.ac.in,www.adhiyamaan.ac.in,9894801849,83.0,086902000000102,INDIAN OVERSEAS BANK,IOBA0000869,40.0,HOSUR,6.0,No,Yes,198,Boys,Girls,yes,yes,permanent,permanent,both,both,54000.0,54000.0,24200,24200,1800,1800,1000,5000,100,yes,8000,34600
2744,"Adithya Institute of Technology (Autonomous), Kurumbapalayam Village, Coimbatore District 641107",DR R THIRUMALAI,"SATHY MAIN ROAD, NEAR SARAVANAMPATTI, KURUMBAPALAYAM , SS KULUM, COIMBATORE",ANNUR,COIMBATORE,641107,9842215906,principal@adithyatech.com,www.adithyatech.edu.in,9842215906,68.0,10920100112553,THE FEDERAL BANK LTD,,14.0,COIMBATORE CENTRAL,15.0,No,Yes,276,Boys,Girls,yes,yes,permanent,permanent,both,Both,4500.0,4500.0,3500,3500,400,400,5000,3000,500,yes,20000,35000
1316,"Agni College of Technology (Autonomous), Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",DR SRINIVASAN A,"THALAMBUR, OLD MAHABALIPURAM ROAD, VANDALUR TALUK, CHENGALPATTU DISTRICT - 600 130",VANDALUR,CHENGALPATTU,600130,4449972900,mail@act.edu.in,www.act.edu.in,9445024081,91.0,6619875435,INDIAN BANK,IDIB000M047,25.0,TAMBARAM,15.0,No,Yes,107,Boys,Girls,yes,yes,permanent,permanent,both,Both,5000.0,5000.0,2500,2500,300,300,0,7000,0,yes,35000,35000
