sl_no,tnea_code,college_name,district,total_appeared,total_passed,pass_percentage,pdf_page,sem1_appeared,sem1_passed,sem3_appeared,sem3_passed,sem5_appeared,sem5_passed,sem7_appeared,sem7_passed,sem9_appeared,sem9_passed
1,1217,SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,KANCHEEPURAM,500,243,48.6,1,120.0,22.0,122.0,60.0,162.0,99.0,94.0,62.0,2.0,0.0
1,5012,CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (CSIR) KARAIKUDI,SIVAGANGAI,164,146,89.02,2,40.0,34.0,42.0,34.0,43.0,42.0,39.0,36.0,,
2,4944,ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,KANYAKUMARI,2118,1791,84.56,2,646.0,443.0,647.0,565.0,436.0,404.0,389.0,379.0,,
3,2343,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,SALEM,186,154,82.8,2,32.0,16.0,55.0,48.0,49.0,48.0,50.0,42.0,,
4,1520,KINGSTON ENGINEERING COLLEGE,VELLORE,1347,1086,80.62,2,381.0,243.0,303.0,232.0,343.0,300.0,320.0,311.0,,
5,4974,GOVERNMENT COLLEGE OF ENGINEERING - THIRUNELVELI,THIRUNELVELI,1889,1507,79.78,2,510.0,357.0,460.0,344.0,458.0,390.0,461.0,416.0,,
6,1237,VELAMMAL INSTITUTE OF TECHNOLOGY,THIRUVALLUR,2378,1889,79.44,2,658.0,409.0,585.0,445.0,627.0,551.0,508.0,484.0,,
7,4678,RAMCO INSTITUTE OF TECHNOLOGY,VIRUDHUNAGAR,2742,2135,77.86,2,747.0,460.0,719.0,550.0,663.0,553.0,613.0,572.0,,
8,2630,CHETTINAD COLLEGE OF ENGINEERING AND TECHNOLOGY,KARUR,1098,803,73.13,2,334.0,169.0,294.0,220.0,238.0,202.0,232.0,212.0,,
9,1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,RANIPET,1439,1051,73.04,2,467.0,259.0,425.0,292.0,328.0,287.0,219.0,213.0,,
10,1424,DHAANISH AHMED COLLEGE OF ENGINEERING,KANCHEEPURAM,1519,1106,72.81,2,500.0,302.0,368.0,234.0,350.0,312.0,301.0,258.0,,
11,1436,A.R. ENGINEERING COLLEGE,VILLUPURAM,205,142,69.27,2,42.0,16.0,52.0,36.0,60.0,51.0,51.0,39.0,,
12,2709,"GOVERNMENT COLLEGE OF ENGINEERING, ERODE",ERODE,1659,1142,68.84,2,429.0,242.0,425.0,267.0,398.0,299.0,407.0,334.0,,
13,1401,ADHIPARASAKTHI ENGINEERING COLLEGE,CHENGALPATTU,1232,847,68.75,2,360.0,161.0,303.0,207.0,315.0,259.0,254.0,220.0,,
14,3852,SRI BHARATHI ENGINEERING COLLEGE FOR WOMEN,PUDUKKOTTAI,497,341,68.61,2,147.0,56.0,125.0,80.0,113.0,99.0,112.0,106.0,,
15,2752,NANDHA COLLEGE OF TECHNOLOGY,ERODE,1376,940,68.31,2,425.0,184.0,333.0,208.0,339.0,288.0,279.0,260.0,,
16,1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM",KANCHEEPURAM,894,608,68.01,3,206.0,133.0,227.0,119.0,228.0,158.0,233.0,198.0,,
17,4023,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",KANYAKUMARI,1624,1075,66.19,3,425.0,207.0,409.0,219.0,417.0,313.0,373.0,336.0,,
18,5842,SRM MADURAI COLLEGE FOR ENGINEERING AND TECHNOLOGY,SIVAGANGAI,1588,1043,65.68,3,593.0,338.0,601.0,373.0,390.0,329.0,4.0,3.0,,
19,3803,ANJALAI AMMAL MAHALINGAM ENGINEERING COLLEGE,THIRUVARUR,1707,1106,64.79,3,503.0,233.0,436.0,244.0,393.0,293.0,375.0,336.0,,
20,1516,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,VELLORE,1639,1055,64.37,3,384.0,198.0,427.0,215.0,400.0,287.0,428.0,355.0,,
21,2025,"ANNA UNIVERSITY REGIONAL CAMPUS, COIMBATORE",COIMBATORE,1295,833,64.32,3,321.0,188.0,353.0,180.0,315.0,224.0,306.0,241.0,,
22,1605,IDHAYA ENGINEERING COLLEGE FOR WOMEN,KALLAKURICHI,680,436,64.12,3,165.0,27.0,170.0,105.0,209.0,178.0,136.0,126.0,,
23,4020,"ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI",THIRUNELVELI,941,602,63.97,3,256.0,145.0,242.0,132.0,241.0,159.0,202.0,166.0,,
24,5865,NADAR SARASWATHI COLLEGE OF ENGINEERING AND TECHNOLOGY,THENI,1100,702,63.82,3,369.0,137.0,281.0,174.0,210.0,176.0,240.0,215.0,,
25,1412,MAILAM ENGINEERING COLLEGE,VILLUPURAM,3290,2097,63.74,3,957.0,321.0,927.0,572.0,728.0,592.0,678.0,612.0,,
26,1321,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,CHENNAI,507,321,63.31,3,114.0,68.0,131.0,70.0,132.0,82.0,130.0,101.0,,
27,4680,AAA COLLEGE OF ENGINEERING & TECHNOLOGY,VIRUDHUNAGAR,2024,1271,62.8,3,656.0,275.0,591.0,364.0,512.0,421.0,265.0,211.0,,
28,4954,DR.SIVANTHI ADITANAR COLLEGE OF ENGINEERING,TUTICORIN,925,580,62.7,3,283.0,120.0,244.0,151.0,227.0,167.0,171.0,142.0,,
29,1325,ST. JOSEPH COLLEGE OF ENGINEERING,KANCHEEPURAM,1449,896,61.84,3,534.0,223.0,348.0,215.0,325.0,260.0,242.0,198.0,,
30,1310,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,CHENGALPATTU,970,595,61.34,3,260.0,95.0,236.0,137.0,248.0,166.0,226.0,197.0,,
31,1505,C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY,RANIPET,1608,986,61.32,4,493.0,211.0,390.0,224.0,380.0,274.0,345.0,277.0,,
